n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
1500,0.042000,0.042000,0.036000,0.020000,0.012000,0.022000,0.015000,0.014000,0.030000,0.020000,0.019000,0.014000,0.021000,0.018000
2000,0.075000,0.078000,0.040000,0.074000,0.042000,0.027000,0.032000,0.030000,0.040000,0.028000,0.060000,0.042000,0.020000,0.023000
2500,0.117000,0.123000,0.055000,0.036000,0.050000,0.063000,0.029000,0.030000,0.058000,0.077000,0.064000,0.031000,0.047000,0.022000
3000,0.169000,0.180000,0.078000,0.105000,0.041000,0.035000,0.073000,0.044000,0.076000,0.048000,0.080000,0.036000,0.033000,0.040000
3500,0.229000,0.252000,0.095000,0.061000,0.089000,0.055000,0.041000,0.067000,0.108000,0.060000,0.057000,0.049000,0.041000,0.065000
4000,0.304000,0.345000,0.127000,0.078000,0.050000,0.048000,0.080000,0.054000,0.133000,0.087000,0.072000,0.086000,0.051000,0.061000
4500,0.391000,0.443000,0.201000,0.089000,0.090000,0.064000,0.063000,0.090000,0.163000,0.094000,0.115000,0.058000,0.055000,0.057000
500,0.005000,0.005000,0.006000,0.006000,0.006000,0.004000,0.006000,0.006000,0.008000,0.006000,0.005000,0.010000,0.004000,0.006000
5000,0.468000,0.572000,0.188000,0.110000,0.091000,0.124000,0.076000,0.074000,0.201000,0.165000,0.126000,0.069000,0.113000,0.087000
5500,0.575000,0.720000,0.238000,0.126000,0.107000,0.112000,0.120000,0.080000,0.242000,0.137000,0.097000,0.091000,0.097000,0.109000
6000,0.682000,0.902000,0.287000,0.169000,0.106000,0.102000,0.103000,0.152000,0.310000,0.167000,0.106000,0.085000,0.109000,0.112000
6500,0.817000,1.069000,0.334000,0.175000,0.163000,0.143000,0.108000,0.183000,0.355000,0.196000,0.121000,0.130000,0.109000,0.139000
7000,0.926000,1.272000,0.388000,0.214000,0.140000,0.157000,0.128000,0.159000,0.408000,0.224000,0.137000,0.123000,0.128000,0.135000
7500,1.116000,1.501000,0.425000,0.233000,0.193000,0.149000,0.106000,0.200000,0.461000,0.258000,0.204000,0.161000,0.142000,0.142000
8000,1.219000,1.712000,0.483000,0.266000,0.161000,0.186000,0.132000,0.240000,0.525000,0.289000,0.199000,0.181000,0.146000,0.149000
