n,threads,time
45000000,12,0.077000
45000000,24,0.061000
45000000,48,0.073000
45000000,96,0.063000
50000000,3,0.212000
50000000,6,0.119000
50000000,12,0.068000
50000000,24,0.050000
50000000,48,0.077000
50000000,96,0.070000
55000000,3,0.242000
55000000,6,0.156000
55000000,12,0.084000
55000000,24,0.051000
55000000,48,0.063000
55000000,96,0.079000
60000000,3,0.251000
60000000,6,0.159000
60000000,12,0.079000
60000000,24,0.071000
60000000,48,0.090000
60000000,96,0.080000
65000000,3,0.279000
65000000,6,0.163000
65000000,12,0.084000
65000000,24,0.051000
65000000,48,0.070000
65000000,96,0.095000
70000000,3,0.316000
70000000,6,0.158000
70000000,12,0.097000
70000000,24,0.073000
70000000,48,0.076000
70000000,96,0.071000
75000000,3,0.309000
75000000,6,0.189000
75000000,12,0.115000
75000000,24,0.085000
75000000,48,0.094000
75000000,96,0.094000
80000000,3,0.338000
80000000,6,0.179000
80000000,12,0.111000
80000000,24,0.061000
80000000,48,0.076000
80000000,96,0.084000
85000000,3,0.362000
85000000,6,0.193000
85000000,12,0.116000
85000000,24,0.088000
85000000,48,0.083000
85000000,96,0.084000
90000000,3,0.382000
90000000,6,0.202000
90000000,12,0.113000
90000000,24,0.091000
90000000,48,0.087000
90000000,96,0.117000
95000000,3,0.397000
95000000,6,0.214000
95000000,12,0.114000
95000000,24,0.105000
95000000,48,0.086000
95000000,96,0.091000
100000000,3,0.420000
100000000,6,0.220000
100000000,12,0.127000
100000000,24,0.090000
100000000,48,0.109000
100000000,96,0.102000
5000000,3,0.034000
5000000,6,0.033000
5000000,12,0.013000
5000000,24,0.014000
5000000,48,0.013000
5000000,96,0.022000
10000000,3,0.063000
10000000,6,0.035000
10000000,12,0.024000
10000000,24,0.018000
10000000,48,0.025000
10000000,96,0.039000
15000000,3,0.072000
15000000,6,0.080000
15000000,12,0.026000
15000000,24,0.018000
15000000,48,0.028000
15000000,96,0.033000
20000000,3,0.093000
20000000,6,0.050000
20000000,12,0.047000
20000000,24,0.034000
20000000,48,0.030000
20000000,96,0.039000
25000000,3,0.122000
25000000,6,0.061000
25000000,12,0.041000
25000000,24,0.042000
25000000,48,0.033000
25000000,96,0.037000
30000000,3,0.145000
30000000,6,0.073000
30000000,12,0.064000
30000000,24,0.038000
30000000,48,0.053000
30000000,96,0.041000
35000000,3,0.167000
35000000,6,0.093000
35000000,12,0.079000
35000000,24,0.058000
35000000,48,0.050000
35000000,96,0.055000
40000000,3,0.199000
40000000,6,0.108000
40000000,12,0.085000
40000000,24,0.034000
40000000,48,0.059000
40000000,96,0.054000
45000000,3,0.194000
45000000,6,0.118000
45000000,12,0.061000
45000000,24,0.045000
45000000,48,0.072000
45000000,96,0.089000
50000000,3,0.218000
50000000,6,0.116000
50000000,12,0.076000
50000000,24,0.071000
50000000,48,0.077000
50000000,96,0.083000
55000000,3,0.240000
55000000,6,0.158000
55000000,12,0.075000
55000000,24,0.058000
55000000,48,0.083000
55000000,96,0.072000
60000000,3,0.252000
60000000,6,0.164000
60000000,12,0.110000
60000000,24,0.056000
60000000,48,0.073000
60000000,96,0.063000
65000000,3,0.276000
65000000,6,0.152000
65000000,12,0.084000
65000000,24,0.070000
65000000,48,0.088000
65000000,96,0.095000
70000000,3,0.306000
70000000,6,0.183000
70000000,12,0.102000
70000000,24,0.082000
70000000,48,0.079000
70000000,96,0.069000
75000000,3,0.327000
75000000,6,0.172000
75000000,12,0.123000
75000000,24,0.064000
75000000,48,0.084000
75000000,96,0.095000
80000000,3,0.349000
80000000,6,0.177000
80000000,12,0.103000
80000000,24,0.079000
80000000,48,0.093000
80000000,96,0.079000
85000000,3,0.361000
85000000,6,0.212000
85000000,12,0.106000
85000000,24,0.073000
85000000,48,0.092000
85000000,96,0.095000
90000000,3,0.378000
90000000,6,0.192000
90000000,12,0.113000
90000000,24,0.066000
90000000,48,0.091000
90000000,96,0.103000
95000000,3,0.394000
95000000,6,0.220000
95000000,12,0.119000
95000000,24,0.083000
95000000,48,0.095000
95000000,96,0.092000
100000000,3,0.430000
100000000,6,0.216000
100000000,12,0.125000
100000000,24,0.080000
100000000,48,0.091000
100000000,96,0.101000
5000000,3,0.032000
5000000,6,0.022000
5000000,12,0.020000
5000000,24,0.013000
5000000,48,0.017000
5000000,96,0.018000
10000000,3,0.054000
10000000,6,0.037000
10000000,12,0.021000
10000000,24,0.022000
10000000,48,0.020000
10000000,96,0.028000
15000000,3,0.074000
15000000,6,0.059000
15000000,12,0.028000
15000000,24,0.031000
15000000,48,0.030000
15000000,96,0.035000
20000000,3,0.092000
20000000,6,0.056000
20000000,12,0.059000
20000000,24,0.040000
20000000,48,0.028000
20000000,96,0.046000
25000000,3,0.116000
25000000,6,0.063000
25000000,12,0.047000
25000000,24,0.039000
25000000,48,0.031000
25000000,96,0.040000
30000000,3,0.130000
30000000,6,0.074000
30000000,12,0.069000
30000000,24,0.044000
30000000,48,0.057000
30000000,96,0.051000
35000000,3,0.151000
35000000,6,0.087000
35000000,12,0.051000
35000000,24,0.050000
35000000,48,0.053000
35000000,96,0.054000
40000000,3,0.178000
40000000,6,0.106000
40000000,12,0.058000
40000000,24,0.060000
40000000,48,0.063000
40000000,96,0.063000
45000000,3,0.190000
45000000,6,0.118000
45000000,12,0.063000
45000000,24,0.042000
45000000,48,0.053000
45000000,96,0.067000
50000000,3,0.215000
50000000,6,0.117000
50000000,12,0.091000
50000000,24,0.071000
50000000,48,0.057000
50000000,96,0.078000
55000000,3,0.236000
55000000,6,0.125000
55000000,12,0.074000
55000000,24,0.068000
55000000,48,0.097000
55000000,96,0.085000
60000000,3,0.263000
60000000,6,0.165000
60000000,12,0.110000
60000000,24,0.081000
60000000,48,0.093000
60000000,96,0.085000
65000000,3,0.272000
65000000,6,0.147000
65000000,12,0.104000
65000000,24,0.082000
65000000,48,0.083000
65000000,96,0.093000
70000000,3,0.294000
70000000,6,0.156000
70000000,12,0.092000
70000000,24,0.071000
70000000,48,0.084000
70000000,96,0.087000
75000000,3,0.316000
75000000,6,0.167000
75000000,12,0.096000
75000000,24,0.094000
75000000,48,0.079000
75000000,96,0.076000
80000000,3,0.341000
80000000,6,0.213000
80000000,12,0.102000
80000000,24,0.062000
80000000,48,0.105000
80000000,96,0.098000
85000000,3,0.358000
85000000,6,0.184000
85000000,12,0.110000
85000000,24,0.084000
85000000,48,0.105000
85000000,96,0.096000
90000000,3,0.381000
90000000,6,0.203000
90000000,12,0.126000
90000000,24,0.093000
90000000,48,0.115000
90000000,96,0.092000
95000000,3,0.398000
95000000,6,0.214000
95000000,12,0.120000
95000000,24,0.076000
95000000,48,0.087000
95000000,96,0.097000
100000000,3,0.414000
100000000,6,0.221000
100000000,12,0.124000
100000000,24,0.069000
100000000,48,0.104000
100000000,96,0.130000
5000000,3,0.033000
5000000,6,0.032000
5000000,12,0.021000
5000000,24,0.014000
5000000,48,0.022000
5000000,96,0.022000
10000000,3,0.061000
10000000,6,0.040000
10000000,12,0.021000
10000000,24,0.022000
10000000,48,0.025000
10000000,96,0.032000
15000000,3,0.073000
15000000,6,0.046000
15000000,12,0.047000
15000000,24,0.028000
15000000,48,0.034000
15000000,96,0.036000
20000000,3,0.102000
20000000,6,0.053000
20000000,12,0.035000
20000000,24,0.035000
20000000,48,0.035000
20000000,96,0.050000
25000000,3,0.111000
25000000,6,0.090000
25000000,12,0.070000
25000000,24,0.034000
25000000,48,0.037000
25000000,96,0.044000
30000000,3,0.140000
30000000,6,0.090000
30000000,12,0.067000
30000000,24,0.044000
30000000,48,0.039000
30000000,96,0.048000
35000000,3,0.178000
35000000,6,0.083000
35000000,12,0.082000
35000000,24,0.049000
35000000,48,0.042000
35000000,96,0.074000
40000000,3,0.171000
40000000,6,0.117000
40000000,12,0.071000
40000000,24,0.049000
40000000,48,0.050000
40000000,96,0.057000
45000000,3,0.194000
45000000,6,0.123000
45000000,12,0.064000
45000000,24,0.044000
45000000,48,0.058000
45000000,96,0.062000
50000000,3,0.227000
50000000,6,0.116000
50000000,12,0.066000
50000000,24,0.071000
50000000,48,0.072000
50000000,96,0.079000
55000000,3,0.237000
55000000,6,0.141000
55000000,12,0.092000
55000000,24,0.066000
55000000,48,0.071000
55000000,96,0.078000
60000000,3,0.260000
60000000,6,0.133000
60000000,12,0.080000
60000000,24,0.069000
60000000,48,0.080000
60000000,96,0.067000
65000000,3,0.269000
65000000,6,0.145000
65000000,12,0.084000
65000000,24,0.093000
65000000,48,0.085000
65000000,96,0.102000
70000000,3,0.301000
70000000,6,0.164000
70000000,12,0.091000
70000000,24,0.076000
70000000,48,0.083000
70000000,96,0.084000
75000000,3,0.327000
75000000,6,0.179000
75000000,12,0.104000
75000000,24,0.058000
75000000,48,0.073000
75000000,96,0.118000
80000000,3,0.334000
80000000,6,0.189000
80000000,12,0.119000
80000000,24,0.084000
80000000,48,0.102000
80000000,96,0.087000
85000000,3,0.357000
85000000,6,0.186000
85000000,12,0.106000
85000000,24,0.082000
85000000,48,0.087000
85000000,96,0.086000
90000000,3,0.390000
90000000,6,0.197000
90000000,12,0.125000
90000000,24,0.098000
90000000,48,0.098000
90000000,96,0.101000
95000000,3,0.397000
95000000,6,0.205000
95000000,12,0.149000
95000000,24,0.105000
95000000,48,0.094000
95000000,96,0.103000
100000000,3,0.417000
100000000,6,0.250000
100000000,12,0.124000
100000000,24,0.087000
100000000,48,0.099000
100000000,96,0.096000
5000000,3,0.040000
5000000,6,0.029000
5000000,12,0.015000
5000000,24,0.014000
5000000,48,0.018000
5000000,96,0.026000
10000000,3,0.057000
10000000,6,0.033000
10000000,12,0.021000
10000000,24,0.016000
10000000,48,0.022000
10000000,96,0.030000
15000000,3,0.075000
15000000,6,0.052000
15000000,12,0.040000
15000000,24,0.033000
15000000,48,0.025000
15000000,96,0.032000
20000000,3,0.097000
20000000,6,0.058000
20000000,12,0.033000
20000000,24,0.029000
20000000,48,0.037000
20000000,96,0.046000
25000000,3,0.112000
25000000,6,0.067000
25000000,12,0.056000
25000000,24,0.033000
25000000,48,0.033000
25000000,96,0.034000
30000000,3,0.142000
30000000,6,0.090000
30000000,12,0.049000
30000000,24,0.056000
30000000,48,0.039000
30000000,96,0.058000
35000000,3,0.160000
35000000,6,0.098000
35000000,12,0.056000
35000000,24,0.049000
35000000,48,0.058000
35000000,96,0.049000
40000000,3,0.171000
40000000,6,0.106000
40000000,12,0.079000
40000000,24,0.050000
40000000,48,0.046000
40000000,96,0.071000
45000000,3,0.194000
45000000,6,0.125000
45000000,12,0.069000
45000000,24,0.051000
45000000,48,0.079000
45000000,96,0.066000
50000000,3,0.219000
50000000,6,0.114000
50000000,12,0.115000
50000000,24,0.062000
50000000,48,0.061000
