n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
1500,0.042167,0.042268,0.073370,0.096094,0.097295,0.078267,0.053233,0.047501,0.075840,0.076329,0.094430,0.093559,0.037430,0.037216
2000,0.074924,0.078071,0.100517,0.104808,0.144395,0.145482,0.075827,0.096532,0.110924,0.124159,0.118128,0.101891,0.135300,0.095400
2500,0.117099,0.123004,0.148130,0.174860,0.189966,0.191296,0.251309,0.206121,0.160443,0.182965,0.232614,0.313874,0.125244,0.209510
3000,0.168468,0.179572,0.206756,0.248412,0.277180,0.407122,0.248697,0.244092,0.211578,0.243034,0.275881,0.398600,0.381682,0.267931
3500,0.229434,0.251632,0.270084,0.320080,0.361389,0.401627,0.533074,0.246987,0.289388,0.296060,0.381803,0.510004,0.531477,0.248864
4000,0.303547,0.344341,0.350183,0.389120,0.484465,0.561651,0.469078,0.620685,0.362186,0.391281,0.489275,0.522008,0.660752,0.373075
4500,0.389984,0.443187,0.478400,0.466094,0.606846,0.756063,0.687096,0.615302,0.456281,0.487028,0.530922,0.752834,0.759003,0.660985
500,0.004869,0.004849,0.005805,0.005922,0.002440,0.009456,0.007484,0.017358,0.008029,0.005999,0.004575,0.006357,0.014201,0.014327
5000,0.467878,0.571730,0.525648,0.561638,0.720456,0.719673,0.806630,0.856778,0.564771,0.645572,0.632689,0.907327,0.747777,0.835017
5500,0.574842,0.719690,0.628431,0.661578,0.833549,0.876786,1.018619,0.951672,0.680698,0.731832,0.798329,0.943313,0.866859,0.827836
6000,0.681010,0.902572,0.827809,0.930514,1.050930,1.352598,1.590613,5.347740,0.864322,0.898947,1.048307,1.218307,1.511482,1.596606
6500,0.816998,1.068544,0.939164,0.945164,1.097693,2.858383,1.786881,5.921475,0.991911,1.066747,1.179782,1.644692,1.608812,2.177736
7000,0.925653,1.271795,1.096623,1.169304,1.300997,3.161906,2.627475,4.366076,1.166273,1.213756,1.335397,1.773477,1.929271,2.096046
7500,1.115693,1.501455,1.207248,1.244515,1.830070,1.500949,2.315284,5.252706,1.287806,1.369994,1.452391,1.839347,2.192025,2.150656
8000,1.219018,1.712551,1.365996,1.425741,1.611867,3.719209,3.125576,6.703134,1.467292,1.553319,1.652360,1.709656,2.670803,2.762231
8500,1.367983,1.995964,1.530158,1.587066,2.154754,2.833846,2.835865,3.368040,1.639909,1.729933,1.920442,2.283891,2.997500,3.168150
9000,1.529942,2.278459,1.769416,1.827836,2.258387,2.784357,3.440977,4.396027,1.884133,1.944064,2.177577,2.709778,2.977064,3.330395
9500,1.710765,2.642809,1.920781,1.953417,2.469220,2.582749,4.471824,6.937635,2.033816,2.280134,2.435015,3.061166,3.190456,3.484384
1000,0.019060,0.020597,0.040245,0.031377,0.037968,0.025462,0.014583,0.017287,0.031070,0.026778,0.014137,0.022059,0.013557,0.014151
10000,1.900140,2.853456,1.980907,2.157139,2.691285,3.321828,3.626776,5.247008,2.252867,2.297160,2.515211,3.302948,3.836808,3.414325
1500,0.042118,0.042514,0.070491,0.097004,0.087513,0.077830,0.052983,0.082945,0.075442,0.095005,0.100243,0.095171,0.046869,0.019032
2000,0.074866,0.078276,0.101201,0.107461,0.114815,0.147014,0.048664,0.092578,0.109767,0.140716,0.144801,0.088777,0.139553,0.072248
2500,0.117025,0.122934,0.148066,0.171592,0.239810,0.308724,0.216709,0.095065,0.157349,0.151280,0.237337,0.296655,0.162334,0.176887
3000,0.169327,0.180114,0.195176,0.225144,0.245445,0.376808,0.233987,0.321394,0.210158,0.242515,0.329199,0.346280,0.448265,0.352876
3500,0.229614,0.249903,0.278529,0.306660,0.331310,0.504160,0.390003,0.451607,0.286042,0.316759,0.400153,0.367820,0.452035,0.505644
4000,0.299828,0.338826,0.350607,0.379200,0.420231,0.602974,0.681287,0.472921,0.368634,0.411485,0.434086,0.644332,0.615527,0.359741
4500,0.379210,0.450183,0.437233,0.466057,0.551265,0.668156,0.558457,0.666608,0.456411,0.487155,0.615203,0.767956,0.648328,0.516859
500,0.004826,0.004893,0.002764,0.006553,0.004329,0.005108,0.006643,0.018460,0.011176,0.007138,0.003088,0.006099,0.010464,0.014801
5000,0.469265,0.572572,0.581771,0.583327,0.747414,0.899292,0.817901,0.891310,0.566197,0.589717,0.636041,0.890183,0.813517,0.725409
5500,0.574534,0.724198,0.633689,0.720072,0.840187,0.944051,1.040908,0.959899,0.682417,0.723839,0.791386,1.126750,0.872987,1.043505
6000,0.681416,0.904988,0.823880,0.923101,1.259891,1.412083,1.178009,3.155678,0.843731,0.913412,1.053502,1.502743,1.506184,1.882736
6500,0.821398,1.057090,0.937865,1.055710,1.174536,1.852334,1.470600,1.531022,0.994728,1.052533,1.233348,1.497389,1.647301,2.035300
7000,0.951301,1.300062,1.008881,1.108058,1.576217,2.041682,2.290743,3.840291,1.134293,1.198894,1.448164,1.719677,1.833880,2.066124
7500,1.089063,1.471964,1.215831,1.346927,1.394748,3.323053,2.325110,2.282011,1.285829,1.359773,1.539601,1.814700,2.217359,2.259674
8000,1.218413,1.748752,1.355553,1.413184,1.854119,3.720365,2.649352,2.422690,1.473537,1.560845,1.730892,1.716444,2.306972,2.862727
8500,1.367186,1.988342,1.535864,1.669326,1.778755,2.335162,2.592067,2.606829,1.635836,1.733985,1.827101,2.596193,2.973347,2.963012
9000,1.530080,2.330472,1.714558,1.832470,2.174432,2.648124,3.534375,3.923257,1.842923,1.936154,2.218968,2.279335,3.214761,3.524577
9500,1.732006,2.544522,1.929428,2.039977,2.350959,2.819517,3.355840,3.742139,2.172322,2.124025,2.246586,3.064425,3.553220,3.404802
1000,0.018679,0.019998,0.038846,0.033896,0.015017,0.015808,0.014183,0.016720,0.036913,0.025090,0.014623,0.005969,0.013296,0.017054
10000,1.900505,2.878109,2.073161,2.202009,2.576111,3.592572,5.108279,4.892105,2.248174,2.345889,2.517849,2.898514,3.830622,3.530884
1500,0.042169,0.042564,0.071029,0.084575,0.106478,0.085435,0.050617,0.069146,0.072193,0.094980,0.056007,0.061178,0.042127,0.054395
2000,0.074896,0.078083,0.110470,0.109254,0.131348,0.111410,0.192172,0.101992,0.109573,0.120127,0.120094,0.119512,0.162762,0.061429
2500,0.117127,0.123206,0.146641,0.179896,0.213011,0.262838,0.274217,0.200186,0.147990,0.166402,0.241136,0.312620,0.328336,0.263706
3000,0.178900,0.185328,0.209242,0.250794,0.266108,0.250922,0.317302,0.206142,0.211011,0.243239,0.285228,0.378783,0.211650,0.242033
3500,0.229716,0.263476,0.273850,0.304724,0.417830,0.438013,0.425234,0.337633,0.290333,0.304998,0.352170,0.347062,0.489784,0.492975
4000,0.300411,0.340333,0.347125,0.397115,0.510727,0.484640,0.458335,0.707458,0.374705,0.384478,0.452868,0.454563,0.629834,0.434569
4500,0.379451,0.441821,0.431954,0.459108,0.567414,0.663586,0.804904,0.601624,0.448362,0.577201,0.542542,0.690032,0.839956,0.606466
500,0.005095,0.004801,0.012644,0.002706,0.002750,0.004274,0.009516,0.016030,0.012071,0.006969,0.004377,0.004864,0.012667,0.015893
5000,0.467830,0.581173,0.524458,0.611814,0.709417,0.900778,0.859209,0.689466,0.619740,0.666576,0.650888,0.779608,0.904114,0.781363
5500,0.574128,0.725015,0.630431,0.794533,0.806530,0.878954,1.143731,0.860906,0.699085,0.709663,0.799143,1.066029,1.094976,0.896856
6000,0.681212,0.896504,0.807692,0.920336,1.224428,2.824801,1.640888,6.311784,0.819197,0.912355,1.051881,1.482475,1.587659,1.761504
6500,0.797924,1.059453,0.926883,1.041939,1.390336,1.180729,1.427457,2.049819,0.994534,1.052285,1.119664,1.616956,1.802686,1.902393
7000,0.924746,1.267668,1.066762,1.158075,1.180142,2.024449,2.444273,1.790217,1.131941,1.210295,1.373810,1.658054,1.893178,1.964066
7500,1.065586,1.492465,1.213000,1.348019,1.784861,2.184076,2.380063,2.235287,1.322028,1.372508,1.421028,1.814017,2.255743,2.085574
8000,1.219629,1.762548,1.383688,1.408531,1.750632,3.822925,3.129144,4.463994,1.493629,1.530109,1.621521,1.847629,2.391949,2.560037
8500,1.367398,1.973566,1.529185,1.681283,2.151341,3.881822,3.522455,6.617910,1.651754,1.714310,1.951722,2.640535,2.781436,3.122431
9000,1.573804,2.265678,1.700121,1.756980,1.853840,2.997483,3.104134,3.200094,1.832229,1.937577,2.080656,2.240332,3.091080,3.569868
9500,1.706315,2.560759,1.887582,2.043774,2.444838,3.202612,3.457097,4.147795,2.048411,2.149572,2.397641,2.969274,3.329423,3.712120
1000,0.018828,0.019878,0.037062,0.031061,0.031087,0.025927,0.008982,0.013595,0.038944,0.029352,0.007320,0.019314,0.012323,0.011066
10000,1.900224,2.830088,2.130574,2.198578,2.490232,3.000368,3.061332,4.443526,2.366912,2.337512,2.527569,3.091763,3.712271,3.541689
1500,0.042119,0.042488,0.072612,0.097812,0.087749,0.089215,0.042850,0.030414,0.072264,0.070685,0.088940,0.087535,0.035930,0.036245
2000,0.074992,0.077871,0.108101,0.122331,0.169026,0.173448,0.060692,0.085225,0.109022,0.132798,0.141935,0.164225,0.130907,0.092786
2500,0.116974,0.123062,0.154504,0.181742,0.253243,0.341343,0.288976,0.231856,0.157680,0.152428,0.239193,0.168722,0.177305,0.183276
3000,0.168649,0.180173,0.209191,0.248533,0.332382,0.293805,0.255761,0.249754,0.209943,0.238722,0.294816,0.230882,0.437624,0.346372
3500,0.229170,0.250318,0.324924,0.312114,0.393282,0.461605,0.314312,0.384888,0.291794,0.313682,0.366681,0.515946,0.441355,0.507673
4000,0.299877,0.343512,0.342655,0.372973,0.489219,0.614801,0.497286,0.556307,0.371832,0.403543,0.441332,0.605281,0.557365,0.586497
4500,0.379124,0.450784,0.431483,0.464465,0.613025,0.755765,0.586152,0.629738,0.517352,0.486720,0.564910,0.731627,0.792188,0.557520
500,0.004826,0.004928,0.004610,0.001822,0.005725,0.004815,0.007787,0.018225,0.001435,0.003719,0.001746,0.002930,0.006376,0.016320
